"state","candidate","delegates","scenario"
"iowa","trump",7,"actual"
"new hampshire","trump",11,"actual"
"south carolina","trump",50,"actual"
"nevada","trump",14,"actual"
"alabama","trump",36,"actual"
"alaska","trump",11,"actual"
"arkansas","trump",16,"actual"
"georgia","trump",40,"actual"
"massachusetts","trump",22,"actual"
"minnesota","trump",8,"actual"
"oklahoma","trump",13,"actual"
"tennessee","trump",33,"actual"
"texas","trump",48,"actual"
"vermont","trump",8,"actual"
"virginia","trump",17,"actual"
"colorado","trump",0,"actual"
"kansas","trump",9,"actual"
"kentucky","trump",17,"actual"
"louisiana","trump",18,"actual"
"maine","trump",9,"actual"
"puerto rico","trump",0,"actual"
"hawaii","trump",11,"actual"
"idaho","trump",12,"actual"
"michigan","trump",25,"actual"
"mississippi","trump",24,"actual"
"virgin islands","trump",1,"actual"
"wyoming","trump",1,"actual"
"guam","trump",0,"actual"
"district of columbia","trump",0,"actual"
"florida","trump",99,"actual"
"illinois","trump",53,"actual"
"missouri","trump",25,"actual"
"north carolina","trump",29,"actual"
"northern marianas","trump",9,"actual"
"ohio","trump",0,"actual"
"american samoa","trump",0,"actual"
"arizona","trump",58,"actual"
"utah","trump",0,"actual"
"north dakota","trump",0,"actual"
"wisconsin","trump",6,"actual"
"new york","trump",89,"actual"
"connecticut","trump",28,"actual"
"delaware","trump",16,"actual"
"maryland","trump",38,"actual"
"pennsylvania","trump",59,"actual"
"rhode island","trump",12,"actual"
"indiana","trump",57,"actual"
"nebraska","trump",0,"actual"
"west virginia","trump",0,"actual"
"oregon","trump",0,"actual"
"washington","trump",0,"actual"
"california","trump",0,"actual"
"montana","trump",0,"actual"
"new jersey","trump",0,"actual"
"new mexico","trump",0,"actual"
"south dakota","trump",0,"actual"
"iowa","cruz",8,"actual"
"new hampshire","cruz",3,"actual"
"south carolina","cruz",0,"actual"
"nevada","cruz",6,"actual"
"alabama","cruz",13,"actual"
"alaska","cruz",12,"actual"
"arkansas","cruz",14,"actual"
"georgia","cruz",18,"actual"
"massachusetts","cruz",4,"actual"
"minnesota","cruz",13,"actual"
"oklahoma","cruz",15,"actual"
"tennessee","cruz",16,"actual"
"texas","cruz",104,"actual"
"vermont","cruz",0,"actual"
"virginia","cruz",8,"actual"
"colorado","cruz",0,"actual"
"kansas","cruz",24,"actual"
"kentucky","cruz",15,"actual"
"louisiana","cruz",18,"actual"
"maine","cruz",12,"actual"
"puerto rico","cruz",0,"actual"
"hawaii","cruz",7,"actual"
"idaho","cruz",20,"actual"
"michigan","cruz",17,"actual"
"mississippi","cruz",13,"actual"
"virgin islands","cruz",1,"actual"
"wyoming","cruz",9,"actual"
"guam","cruz",1,"actual"
"district of columbia","cruz",0,"actual"
"florida","cruz",0,"actual"
"illinois","cruz",9,"actual"
"missouri","cruz",15,"actual"
"north carolina","cruz",27,"actual"
"northern marianas","cruz",0,"actual"
"ohio","cruz",0,"actual"
"american samoa","cruz",0,"actual"
"arizona","cruz",0,"actual"
"utah","cruz",40,"actual"
"north dakota","cruz",10,"actual"
"wisconsin","cruz",36,"actual"
"new york","cruz",0,"actual"
"connecticut","cruz",0,"actual"
"delaware","cruz",0,"actual"
"maryland","cruz",0,"actual"
"pennsylvania","cruz",3,"actual"
"rhode island","cruz",2,"actual"
"indiana","cruz",0,"actual"
"nebraska","cruz",0,"actual"
"west virginia","cruz",0,"actual"
"oregon","cruz",0,"actual"
"washington","cruz",0,"actual"
"california","cruz",0,"actual"
"montana","cruz",0,"actual"
"new jersey","cruz",0,"actual"
"new mexico","cruz",0,"actual"
"south dakota","cruz",0,"actual"
"iowa","kasich",1,"actual"
"new hampshire","kasich",4,"actual"
"south carolina","kasich",0,"actual"
"nevada","kasich",1,"actual"
"alabama","kasich",0,"actual"
"alaska","kasich",0,"actual"
"arkansas","kasich",0,"actual"
"georgia","kasich",0,"actual"
"massachusetts","kasich",8,"actual"
"minnesota","kasich",0,"actual"
"oklahoma","kasich",0,"actual"
"tennessee","kasich",0,"actual"
"texas","kasich",0,"actual"
"vermont","kasich",8,"actual"
"virginia","kasich",5,"actual"
"colorado","kasich",0,"actual"
"kansas","kasich",1,"actual"
"kentucky","kasich",7,"actual"
"louisiana","kasich",0,"actual"
"maine","kasich",2,"actual"
"puerto rico","kasich",0,"actual"
"hawaii","kasich",0,"actual"
"idaho","kasich",0,"actual"
"michigan","kasich",17,"actual"
"mississippi","kasich",0,"actual"
"virgin islands","kasich",0,"actual"
"wyoming","kasich",0,"actual"
"guam","kasich",0,"actual"
"district of columbia","kasich",9,"actual"
"florida","kasich",0,"actual"
"illinois","kasich",5,"actual"
"missouri","kasich",0,"actual"
"north carolina","kasich",9,"actual"
"northern marianas","kasich",0,"actual"
"ohio","kasich",66,"actual"
"american samoa","kasich",0,"actual"
"arizona","kasich",0,"actual"
"utah","kasich",0,"actual"
"north dakota","kasich",0,"actual"
"wisconsin","kasich",0,"actual"
"new york","kasich",4,"actual"
"connecticut","kasich",0,"actual"
"delaware","kasich",0,"actual"
"maryland","kasich",0,"actual"
"pennsylvania","kasich",1,"actual"
"rhode island","kasich",5,"actual"
"indiana","kasich",0,"actual"
"nebraska","kasich",0,"actual"
"west virginia","kasich",0,"actual"
"oregon","kasich",0,"actual"
"washington","kasich",0,"actual"
"california","kasich",0,"actual"
"montana","kasich",0,"actual"
"new jersey","kasich",0,"actual"
"new mexico","kasich",0,"actual"
"south dakota","kasich",0,"actual"
"iowa","trump",7.29,"proportional"
"new hampshire","trump",8.119,"proportional"
"south carolina","trump",16.25,"proportional"
"nevada","trump",13.77,"proportional"
"alabama","trump",21.7,"proportional"
"alaska","trump",9.38,"proportional"
"arkansas","trump",13.12,"proportional"
"georgia","trump",29.488,"proportional"
"massachusetts","trump",20.706,"proportional"
"minnesota","trump",8.094,"proportional"
"oklahoma","trump",12.169,"proportional"
"tennessee","trump",22.562,"proportional"
"texas","trump",41.385,"proportional"
"vermont","trump",5.232,"proportional"
"virginia","trump",17.003,"proportional"
"colorado","trump",0,"proportional"
"kansas","trump",9.32,"proportional"
"kentucky","trump",16.514,"proportional"
"louisiana","trump",19.044,"proportional"
"maine","trump",7.498,"proportional"
"puerto rico","trump",3.128,"proportional"
"hawaii","trump",8.056,"proportional"
"idaho","trump",8.992,"proportional"
"michigan","trump",21.535,"proportional"
"mississippi","trump",18.92,"proportional"
"virgin islands","trump",0,"proportional"
"wyoming","trump",2.088,"proportional"
"guam","trump",0,"proportional"
"district of columbia","trump",2.622,"proportional"
"florida","trump",45.243,"proportional"
"illinois","trump",26.427,"proportional"
"missouri","trump",21.268,"proportional"
"north carolina","trump",28.944,"proportional"
"northern marianas","trump",6.552,"proportional"
"ohio","trump",23.496,"proportional"
"american samoa","trump",0,"proportional"
"arizona","trump",27.318,"proportional"
"utah","trump",5.6,"proportional"
"north dakota","trump",0,"proportional"
"wisconsin","trump",14.74,"proportional"
"new york","trump",57,"proportional"
"connecticut","trump",16,"proportional"
"delaware","trump",10,"proportional"
"maryland","trump",21,"proportional"
"pennsylvania","trump",40,"proportional"
"rhode island","trump",12,"proportional"
"indiana","trump",30,"proportional"
"nebraska","trump",0,"proportional"
"west virginia","trump",0,"proportional"
"oregon","trump",0,"proportional"
"washington","trump",0,"proportional"
"california","trump",0,"proportional"
"montana","trump",0,"proportional"
"new jersey","trump",0,"proportional"
"new mexico","trump",0,"proportional"
"south dakota","trump",0,"proportional"
"iowa","cruz",8.28,"proportional"
"new hampshire","cruz",2.691,"proportional"
"south carolina","cruz",11.15,"proportional"
"nevada","cruz",8.28,"proportional"
"alabama","cruz",10.55,"proportional"
"alaska","cruz",10.192,"proportional"
"arkansas","cruz",12.2,"proportional"
"georgia","cruz",17.936,"proportional"
"massachusetts","cruz",4.032,"proportional"
"minnesota","cruz",11.02,"proportional"
"oklahoma","cruz",14.792,"proportional"
"tennessee","cruz",14.326,"proportional"
"texas","cruz",67.89,"proportional"
"vermont","cruz",1.552,"proportional"
"virginia","cruz",8.281,"proportional"
"colorado","cruz",0,"proportional"
"kansas","cruz",19.28,"proportional"
"kentucky","cruz",14.536,"proportional"
"louisiana","cruz",17.388,"proportional"
"maine","cruz",10.557,"proportional"
"puerto rico","cruz",2.07,"proportional"
"hawaii","cruz",6.213,"proportional"
"idaho","cruz",14.528,"proportional"
"michigan","cruz",14.691,"proportional"
"mississippi","cruz",14.52,"proportional"
"virgin islands","cruz",0,"proportional"
"wyoming","cruz",19.227,"proportional"
"guam","cruz",0,"proportional"
"district of columbia","cruz",2.356,"proportional"
"florida","cruz",16.929,"proportional"
"illinois","cruz",20.907,"proportional"
"missouri","cruz",21.164,"proportional"
"north carolina","cruz",26.496,"proportional"
"northern marianas","cruz",2.16,"proportional"
"ohio","cruz",8.646,"proportional"
"american samoa","cruz",0,"proportional"
"arizona","cruz",14.442,"proportional"
"utah","cruz",27.68,"proportional"
"north dakota","cruz",0,"proportional"
"wisconsin","cruz",20.24,"proportional"
"new york","cruz",14,"proportional"
"connecticut","cruz",3,"proportional"
"delaware","cruz",3,"proportional"
"maryland","cruz",7,"proportional"
"pennsylvania","cruz",15,"proportional"
"rhode island","cruz",2,"proportional"
"indiana","cruz",21,"proportional"
"nebraska","cruz",0,"proportional"
"west virginia","cruz",0,"proportional"
"oregon","cruz",0,"proportional"
"washington","cruz",0,"proportional"
"california","cruz",0,"proportional"
"montana","cruz",0,"proportional"
"new jersey","cruz",0,"proportional"
"new mexico","cruz",0,"proportional"
"south dakota","cruz",0,"proportional"
"iowa","kasich",0.57,"proportional"
"new hampshire","kasich",3.634,"proportional"
"south carolina","kasich",3.8,"proportional"
"nevada","kasich",0.57,"proportional"
"alabama","kasich",2.2,"proportional"
"alaska","kasich",1.148,"proportional"
"arkansas","kasich",1.48,"proportional"
"georgia","kasich",4.256,"proportional"
"massachusetts","kasich",7.56,"proportional"
"minnesota","kasich",2.204,"proportional"
"oklahoma","kasich",1.548,"proportional"
"tennessee","kasich",3.074,"proportional"
"texas","kasich",6.51,"proportional"
"vermont","kasich",4.864,"proportional"
"virginia","kasich",4.606,"proportional"
"colorado","kasich",0,"proportional"
"kansas","kasich",4.28,"proportional"
"kentucky","kasich",6.624,"proportional"
"louisiana","kasich",2.944,"proportional"
"maine","kasich",2.806,"proportional"
"puerto rico","kasich",0.322,"proportional"
"hawaii","kasich",2.014,"proportional"
"idaho","kasich",2.368,"proportional"
"michigan","kasich",14.337,"proportional"
"mississippi","kasich",3.52,"proportional"
"virgin islands","kasich",0,"proportional"
"wyoming","kasich",0,"proportional"
"guam","kasich",0,"proportional"
"district of columbia","kasich",6.745,"proportional"
"florida","kasich",6.732,"proportional"
